requested_model_name,actual_model_name,model_pretty_name,hf_id,architecture,total_params_b,active_params_b,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,std_latency_sec,mean_output_tokens,mean_tokens_per_sec,peak_vram_gb,flops_per_token
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,arc_challenge,few_shot_cot,100,27,0.27,0.1926946091766482,0.3643230022623127,4.977726296596229,0.07144696783958099,128.0,25.719884000178055,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,arc_challenge,few_shot_cot,100,25,0.25,0.1754509400372426,0.3430464637007583,2.700617388933897,0.06420624884110723,128.0,47.42308853877761,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,arc_challenge,zero_shot,100,96,0.96,0.9016278276739262,0.984336949448152,1.271335440017283,1.978945566342386,26.04,17.63014039453011,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,arc_challenge,zero_shot,100,75,0.75,0.6569535362992417,0.8245490599627573,0.2606198680773377,0.5590123249786864,8.25,32.0516762852852,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,arc_challenge,zero_shot,100,67,0.67,0.5730516033971139,0.7543701620610456,2.0404314348846673,2.244009533822598,54.51,26.541359254770544,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,arc_challenge,zero_shot,100,27,0.27,0.1926946091766482,0.3643230022623127,2.0206277424097063,0.05299320770916006,128.0,63.38363154813592,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,arc_challenge,zero_shot,100,30,0.3,0.21894753866228117,0.39585038432811953,2.439714500904083,0.0567735864567,128.0,52.489787256686206,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,arc_challenge,zero_shot,100,25,0.25,0.1754509400372426,0.3430464637007583,4.972604104317725,0.09250134861399766,128.0,25.749518309805126,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,arc_challenge,zero_shot,100,24,0.24,0.16691211265459965,0.3323251872329213,2.705582039542496,0.062211947569486864,128.0,47.332250261014245,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,gsm8k,cot,100,28,0.28,0.2013955916759837,0.37488212361345724,11.285328846536578,0.9101425986845741,248.55,22.032299631707907,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,gsm8k,cot,100,24,0.24,0.16691211265459965,0.3323251872329213,7.396856962367893,0.8056300948206817,243.03,32.856963859763006,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,gsm8k,cot,100,34,0.34,0.25461379497543,0.43722454341689065,8.909869081787765,1.0681073964107088,239.18,26.84405035633935,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,gsm8k,cot,100,2,0.02,0.005501852234968185,0.07001316294199365,4.016200938262045,0.018620885997001776,256.0,63.743198906167564,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,gsm8k,cot,100,67,0.67,0.5730516033971139,0.7543701620610456,4.759820827953518,0.024773922041954333,256.0,53.78498714409999,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,gsm8k,cot,100,4,0.04,0.015663050551848016,0.09837217232607373,9.537304905764758,0.10376102668595165,255.66,26.806445367772685,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,gsm8k,cot,100,1,0.01,0.0017673865655472645,0.0544875247609346,5.2067430475354195,0.07630018956274252,256.0,49.177606796213034,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,gsm8k,few_shot_cot,100,68,0.68,0.5833719774632081,0.7633098918454312,9.289560130871832,2.5331273920876973,202.99,21.817297684439076,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,gsm8k,few_shot_cot,100,46,0.46,0.36560643853331865,0.5573531460647615,6.287610773295164,1.8466187981781021,206.15,32.79633660452395,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,gsm8k,few_shot_cot,100,67,0.67,0.5730516033971139,0.7543701620610456,6.147615560740232,2.6815248611210305,164.56,26.785053433474662,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,gsm8k,few_shot_cot,100,8,0.08,0.04109296948581091,0.14998266879403072,4.010823902264238,0.030940213709600473,256.0,63.831050046022376,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,gsm8k,few_shot_cot,100,11,0.11,0.06254131955225126,0.18631463027903022,4.7625251520425085,0.024042973244247163,256.0,53.75435888213208,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,gsm8k,few_shot_cot,100,7,0.07,0.034318824364064096,0.13749671006529757,9.54202636230737,0.28839272351291145,254.54,26.675502993416785,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,gsm8k,few_shot_cot,100,28,0.28,0.2013955916759837,0.37488212361345724,5.0169575946033005,0.4534707474665385,245.65,48.971132657342295,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,gsm8k,zero_shot,100,31,0.31,0.22779563206132378,0.40626239477955695,11.190894167348743,1.0888648909859395,246.94,22.072138103251195,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,gsm8k,zero_shot,100,28,0.28,0.2013955916759837,0.37488212361345724,7.2232477584853765,1.089538205697614,237.36,32.86985583456489,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,gsm8k,zero_shot,100,40,0.4,0.3093997461136028,0.4979992153815976,8.713737481981516,1.3624800193849496,233.26,26.771957477292123,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,gsm8k,zero_shot,100,1,0.01,0.0017673865655472645,0.0544875247609346,4.033144275955856,0.06346128278957733,256.0,63.48801616628202,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,gsm8k,zero_shot,100,66,0.66,0.5627754565831095,0.74538620502457,4.778950215876103,0.07339127674725683,256.0,53.57949714946266,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,gsm8k,zero_shot,100,3,0.03,0.010254338223414816,0.08452078080402699,9.563816293887793,0.11954718999428554,255.64,26.731826804055334,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,gsm8k,zero_shot,100,1,0.01,0.0017673865655472645,0.0544875247609346,5.193300496526063,0.08719450503950973,255.91,49.28962619357035,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,math_l1_l3,cot,100,24,0.24,0.16691211265459965,0.3323251872329213,22.865573279596866,3.729669447601392,462.06,20.191177106357312,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,math_l1_l3,cot,100,22,0.22,0.15001174503655804,0.3107053471500031,14.60541018627584,2.185656892819648,476.22,32.620611463418896,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,math_l1_l3,cot,100,37,0.37,0.28182212569509163,0.46779652424866885,16.44912392217666,3.624106250313748,444.71,27.06110187877289,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,math_l1_l3,cot,100,6,0.06,0.02778574526665662,0.12476968531222507,7.917606993429363,0.03619911689294956,512.0,64.66734131088052,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,math_l1_l3,cot,100,0,0.0,0.0,0.03699480747600191,9.746857533678412,0.09627612315586645,511.52,52.48113113774286,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,math_l1_l3,cot,100,2,0.02,0.005501852234968185,0.07001316294199365,19.415311548635362,0.5989069149407266,511.73,26.378605912840772,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,math_l1_l3,cot,100,0,0.0,0.0,0.03699480747600191,10.510209453701973,0.14214267387559615,512.0,48.723648808672635,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,math_l1_l3,few_shot_cot,100,39,0.39,0.300167219319702,0.48797163832501844,21.0848843248561,5.158792985175872,428.63,20.316013545979708,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,math_l1_l3,few_shot_cot,100,36,0.36,0.2727107459049014,0.45764780018837914,12.880142021216452,3.3495307270873345,416.49,32.390859907460055,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,math_l1_l3,few_shot_cot,100,49,0.49,0.3942183009238615,0.5865215952256586,14.648832060284912,5.744883392966509,391.37,26.83566010480044,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,math_l1_l3,few_shot_cot,100,8,0.08,0.04109296948581091,0.14998266879403072,7.917781732305884,0.026004383094926857,512.0,64.6652733307138,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,math_l1_l3,few_shot_cot,100,0,0.0,0.0,0.03699480747600191,9.972893265001476,0.13827200774039225,512.0,51.34912538655027,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,math_l1_l3,few_shot_cot,100,15,0.15,0.09305903191162297,0.23283733332157835,18.85488996874541,1.5867185653396598,498.44,26.43616189983907,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,math_l1_l3,few_shot_cot,100,21,0.21,0.14165549531645788,0.2998014930196232,9.75920182581991,1.4863825020024277,477.9,48.981018882546444,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,math_l1_l3,zero_shot,100,30,0.3,0.21894753866228117,0.39585038432811953,22.533218238018453,4.133260129864552,458.87,20.358993237195904,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,math_l1_l3,zero_shot,100,28,0.28,0.2013955916759837,0.37488212361345724,13.92550682373345,2.706200050239421,457.26,32.85527538821348,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,math_l1_l3,zero_shot,100,43,0.43,0.3373313900052838,0.5278478830413564,16.1140628201887,3.8885785680402534,433.03,26.895487565504713,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,math_l1_l3,zero_shot,100,3,0.03,0.010254338223414816,0.08452078080402699,7.952918503247202,0.10239724154507499,512.0,64.3891851427735,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,math_l1_l3,zero_shot,100,0,0.0,0.0,0.03699480747600191,9.769369656518101,0.0632589201220176,512.0,52.41083291008513,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,math_l1_l3,zero_shot,100,2,0.02,0.005501852234968185,0.07001316294199365,18.883545728698373,0.310701047146116,511.28,27.07736206461373,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,math_l1_l3,zero_shot,100,0,0.0,0.0,0.03699480747600191,10.532712819464505,0.16011896696831188,512.0,48.62178402910581,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,truthfulqa_mc1,cot,100,81,0.81,0.7222097592919214,0.8748534600729574,2.0955740028247236,2.5250737098784315,44.08,18.32864320927631,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,truthfulqa_mc1,cot,100,55,0.55,0.45244427031643447,0.6438562489359654,0.29984590522944926,0.5807138539630746,9.57,31.768504159188037,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,truthfulqa_mc1,cot,100,86,0.86,0.7786263961619276,0.914737342455351,1.9788864155858754,2.2292047778376562,53.08,26.550581913548026,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,truthfulqa_mc1,cot,100,99,0.99,0.9455124752390653,0.9982326134344526,1.9998194240406155,0.00867955477706235,128.0,64.00698205722294,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,truthfulqa_mc1,cot,100,99,0.99,0.9455124752390653,0.9982326134344526,2.4762676384672524,0.02655037619836101,128.0,51.696658533589805,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,truthfulqa_mc1,cot,100,98,0.98,0.9299868370580063,0.9944981477650318,5.099875292293728,0.08204788822965821,128.0,25.105325583926497,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,truthfulqa_mc1,cot,100,94,0.94,0.8752303146877748,0.9722142547333433,2.68460694655776,0.06386846512651123,128.0,47.70560816254729,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,truthfulqa_mc1,few_shot_cot,100,82,0.82,0.7333246397578691,0.8829986834574896,1.3789676140621305,2.1578538312315017,27.85,16.53622387806385,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,truthfulqa_mc1,few_shot_cot,100,51,0.51,0.4134784047743415,0.6057816990761385,0.24960173182189466,0.3776157628258042,7.94,31.68959544363708,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,truthfulqa_mc1,few_shot_cot,100,80,0.8,0.7111690380734977,0.8666340774409013,0.6064787318557501,1.3774134827847884,16.19,26.079774660445683,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,truthfulqa_mc1,few_shot_cot,100,97,0.97,0.915479219195973,0.9897456617765851,2.004333781301975,0.009015488824408894,128.0,63.862905458106546,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,truthfulqa_mc1,few_shot_cot,100,100,1.0,0.9630051925239981,0.9999999999999999,2.511466160789132,0.03911763260039531,128.0,50.97882436498176,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,truthfulqa_mc1,few_shot_cot,100,99,0.99,0.9455124752390653,0.9982326134344526,5.097043509855866,0.06598182228997934,128.0,25.116880934786085,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,truthfulqa_mc1,few_shot_cot,100,97,0.97,0.915479219195973,0.9897456617765851,2.688285072483122,0.06250157326600435,128.0,47.63901853129115,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,truthfulqa_mc1,zero_shot,100,81,0.81,0.7222097592919214,0.8748534600729574,2.1083294808119537,2.5273775008504384,44.08,18.138458925732447,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,truthfulqa_mc1,zero_shot,100,55,0.55,0.45244427031643447,0.6438562489359654,0.3063835586234927,0.5831363512402048,9.57,31.34413251519238,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,truthfulqa_mc1,zero_shot,100,86,0.86,0.7786263961619276,0.914737342455351,1.9916344752162696,2.2345515148938326,53.08,26.28018171644945,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,truthfulqa_mc1,zero_shot,100,99,0.99,0.9455124752390653,0.9982326134344526,2.0142634164169433,0.059296601272988594,128.0,63.58990583499937,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,truthfulqa_mc1,zero_shot,100,99,0.99,0.9455124752390653,0.9982326134344526,2.476219012439251,0.06119194331331411,128.0,51.71914276050932,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,truthfulqa_mc1,zero_shot,100,98,0.98,0.9299868370580063,0.9944981477650318,5.089428836330772,0.09705536045195091,128.0,25.159042620111286,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,truthfulqa_mc1,zero_shot,100,94,0.94,0.8752303146877748,0.9722142547333433,2.672576515339315,0.05769703616980896,128.0,47.91408739561172,15.256451606750488,16000000000.0
